1,1,6203330099,男式夹克/,35,35,0,0,0,0/美元,,修改
2,2,0508001090,海螺壳/,35,35,0,0,0,0/美元,,修改
3,3,6110909051,女式麻棉针织衫/,35,35,0,0,0,0/美元,,修改
4,4,1211903999,苍术/,35,35,0,0,0,0/美元,,修改
5,5,1211903999,细辛/,35,35,0,0,0,0/美元,,修改
6,6,1211903999,半夏/,35,35,0,0,0,0/美元,,修改
7,7,85045000,线圈/,35,35,0,0,0,0/美元,,修改
8,8,62029310,女式羽绒夹克/,35,35,0,0,0,0/美元,,修改
9,9,62029310,童羽绒夹克/,35,35,0,0,0,0/美元,,修改
10,10,6204230099,女童套装/,35,35,0,0,0,0/美元,,修改
11,11,6110909059,毛衫/,35,35,0,0,0,0/美元,,修改
12,12,0307919290,活沙蚕/,35,35,0,0,0,0/美元,,修改
13,13,6204330090,童上衣/,35,35,0,0,0,0/美元,,修改
14,14,6204230099,童套装/,35,35,0,0,0,0/美元,,修改
